party_key,wire_date,sens,amount,beneficiary,originator,beneficiary_country,originator_country,sign,transaction_type,transaction_type_desc,account_type_desc
232321,17AUG2024,6455706-7390515,2617.64,Ali L,Smith J,UK,JP,-,SIC:DDI,Depot Especes,Association
497700,21FEB2023,4853123-5152562,9279.16,Jones M,Singh M,AE,AE,-,SIC:VMW,Transfert Internet,Entreprise
363615,31JAN2021,3024269-4231028,6455.11,Atlantic Investments,Pacific Consulting,CH,BR,-,SIC:DDI,Depot Especes,Entreprise
934328,18MAY2022,7672565-4654579,14526.05,Martinez D,Jones J,DE,RU,-,SIC:DDI,Depot Especes,Joint
163556,14JUL2025,6692553-2833230,15722.0,Atlantic Enterprises,Pacific Management,CH,US,+,SIC:VMW,Transfert Internet,Entreprise
704238,14MAY2026,3939212-8893693,311.88,Global Group,Atlantic Capital,RU,CA,+,SIC:DDI,Depot Especes,Entreprise
701761,12JUL2025,7626978-9323619,505.63,Singh J,Miller F,CN,CH,-,SIC:DDI,Depot Especes,Entreprise
232321,17FEB2023,6455706-7390515,7687.93,Trans Limited,American Global,FR,BR,-,SIC:VMW,Transfert Internet,Association
550797,03JAN2024,5752087-9164342,2346.78,Johnson J,Brown M,CN,JP,+,SIC:VMW,Transfert Internet,Entreprise
384913,19NOV2023,6363836-2351868,631.52,Pacific Inc,Asian Solutions,AE,CN,-,SIC:VMW,Transfert Internet,Entreprise
803787,24JUL2022,7815076-7095349,2137.6,Asian Corporation,Pacific Exchange,CH,FR,+,SIC:VMW,Transfert Internet,Particulier
991014,11JUN2021,2221854-8640615,1168.52,Johnson M,Garcia E,AE,MX,-,SIC:DDI,Depot Especes,Trust
669408,20NOV2021,1552000-4009069,4255.16,Davis D,Rodriguez W,MX,US,+,SIC:VMW,Transfert Internet,Association
220351,15DEC2024,4771676-3499627,8646.7,Miller M,Williams R,BR,MX,+,SIC:DDI,Depot Especes,Particulier
232731,29AUG2021,1763626-1914794,4230.07,Miller D,Garcia S,CH,US,+,SIC:VMW,Transfert Internet,Trust
251716,20APR2025,5205279-3927575,1777.67,Jones J,Martinez R,UK,BR,+,SIC:VMW,Transfert Internet,Entreprise
145814,16JAN2021,7111929-4985095,729.9,United Limited,American Global,UK,CA,+,SIC:VMW,Transfert Internet,Entreprise
475876,24JUN2021,8225725-3442255,16956.37,Asian Trading,Trans Finance,JP,BR,+,SIC:VMW,Transfert Internet,Entreprise
704596,16MAR2022,5273534-1744682,8020.19,Williams M,Miller R,JP,DE,-,SIC:VMW,Transfert Internet,Joint
555292,11JUN2023,1898516-2698824,44812.71,Inter Partners,Global Finance,DE,JP,+,SIC:VMW,Transfert Internet,Trust
238741,10JAN2021,3905824-1141997,1776.15,Atlantic Enterprises,Asian Capital,CN,CN,+,SIC:DDI,Depot Especes,Joint
876513,09MAR2025,7748892-8364573,595.03,Garcia D,Jones R,AE,FR,-,SIC:VMW,Transfert Internet,Entreprise
445705,01JAN2026,7485471-5767195,29999.29,Miller M,Ali D,CN,MX,-,SIC:DDI,Depot Especes,Joint
787277,04DEC2024,7637601-8698256,15334.97,Atlantic Enterprises,Euro Finance,AE,BR,-,SIC:VMW,Transfert Internet,Association
629990,09NOV2021,9304216-7864135,2236.44,Garcia R,Davis W,JP,CH,-,SIC:VMW,Transfert Internet,Trust
690984,19FEB2025,4158036-9258194,9980.13,Garcia E,Kim F,UK,JP,-,SIC:DDI,Depot Especes,Particulier
949884,18MAY2022,6361793-6828829,3552.13,Davis E,Ali E,FR,CN,-,SIC:VMW,Transfert Internet,Joint
108491,08JAN2022,1822825-9333700,234.91,Canadian Limited,Euro Management,BR,CN,-,SIC:VMW,Transfert Internet,Entreprise
690984,05JAN2021,4158036-9258194,4699.09,Ali J,Ali M,AE,BR,-,SIC:VMW,Transfert Internet,Particulier
840734,11MAR2024,2077581-7960328,1833.81,Johnson M,Davis E,MX,BR,+,SIC:VMW,Transfert Internet,Trust
713762,21JUL2022,9249789-2530793,7600.91,Martinez C,Williams E,DE,AE,+,SIC:VMW,Transfert Internet,Joint
886530,13JAN2024,7905438-1994652,19108.38,Singh S,Rodriguez C,RU,DE,-,SIC:VMW,Transfert Internet,Entreprise
855408,20JUN2023,1807780-7474950,2798.23,Atlantic Group,Global Management,BR,AE,+,SIC:VMW,Transfert Internet,Trust
440839,23JUN2022,9025733-9816043,1716.72,Wang F,Jones S,RU,MX,-,SIC:VMW,Transfert Internet,Trust
259814,05OCT2023,6534221-4859072,1280.35,Singh L,Williams M,DE,AE,-,SIC:DDI,Depot Especes,Trust
263137,24OCT2025,1834876-2368710,2862.84,United Corporation,Inter Services,RU,US,+,SIC:VMW,Transfert Internet,Trust
862400,14APR2021,2324175-8224389,6630.04,Atlantic Corporation,Asian Management,AE,DE,-,SIC:DDI,Depot Especes,Association
483713,07MAY2022,7720644-1858283,1361.11,Wang D,Kim J,CH,RU,+,SIC:VMW,Transfert Internet,Association
491738,24MAY2026,7636992-2695038,6390.25,Inter Enterprises,Atlantic Finance,RU,DE,-,SIC:DDI,Depot Especes,Entreprise
145814,14JUL2021,7111929-4985095,19229.73,Atlantic LLC,United Exchange,FR,JP,-,SIC:VMW,Transfert Internet,Entreprise
867926,21JAN2023,9173859-6323132,1104.1,Global Group,Atlantic Management,RU,CH,-,SIC:VMW,Transfert Internet,Entreprise
656711,15MAR2026,8138769-6549757,1175.03,Miller J,Williams C,DE,MX,-,SIC:VMW,Transfert Internet,Joint
803281,03AUG2024,9853588-6258048,7408.5,Trans Enterprises,United Finance,RU,US,+,SIC:VMW,Transfert Internet,Association
402620,30MAY2022,7481857-9460003,6988.67,Asian Investments,Pacific Management,BR,UK,-,SIC:VMW,Transfert Internet,Association
787277,18JUN2026,7637601-8698256,765.19,Atlantic Group,Atlantic International,DE,CH,-,SIC:VMW,Transfert Internet,Association
898207,01JAN2025,5668371-8072684,571.15,Asian Holdings,United Exchange,US,RU,-,SIC:VMW,Transfert Internet,Particulier
641590,13DEC2022,1942977-9644791,6347.82,Smith M,Ali J,CA,CN,-,SIC:VMW,Transfert Internet,Association
683390,31JUL2023,6471499-5633880,13361.17,Pacific Group,Global Management,FR,JP,-,SIC:DDI,Depot Especes,Association
815707,02OCT2022,1812172-1770794,1098.99,Trans Investments,Atlantic Exchange,JP,AE,-,SIC:VMW,Transfert Internet,Particulier
196446,18MAY2023,6562484-3055673,4973.92,Garcia S,Singh R,MX,CH,+,SIC:VMW,Transfert Internet,Entreprise
990429,10DEC2024,2834801-3757404,2902.69,Asian Holdings,Asian Global,DE,US,+,SIC:VMW,Transfert Internet,Association
840734,03JUN2026,2077581-7960328,4032.33,Ali J,Singh S,UK,CA,-,SIC:VMW,Transfert Internet,Trust
514463,20MAY2024,1919088-1128967,1997.45,Williams M,Wang D,CN,MX,-,SIC:VMW,Transfert Internet,Entreprise
455505,05MAR2026,9324908-9347057,634.66,Canadian Inc,Asian Worldwide,CA,UK,-,SIC:VMW,Transfert Internet,Particulier
772124,10DEC2024,3586950-3872269,39225.14,Wang J,Wang J,UK,CH,-,SIC:VMW,Transfert Internet,Association
677390,04MAY2025,6663388-5317226,7970.48,Rodriguez F,Williams R,CH,FR,-,SIC:VMW,Transfert Internet,Trust
156837,26APR2026,9697969-7069650,198.23,Asian Group,Pacific Worldwide,JP,CN,+,SIC:VMW,Transfert Internet,Particulier
656711,28MAY2023,8138769-6549757,2054.62,Trans Trading,United Global,FR,CH,+,SIC:VMW,Transfert Internet,Joint
689849,10NOV2025,3448176-1272124,860.21,Inter Group,Asian Consulting,CH,AE,-,SIC:DDI,Depot Especes,Joint
389666,06NOV2025,7961578-6702160,428.65,Singh E,Davis D,CH,BR,-,SIC:VMW,Transfert Internet,Joint
530749,15MAR2022,7869154-2237331,896.51,Garcia D,Jones J,BR,JP,+,SIC:VMW,Transfert Internet,Trust
283573,24SEP2024,7418028-5040453,7545.74,Garcia J,Brown R,CA,MX,-,SIC:VMW,Transfert Internet,Entreprise
614084,23NOV2022,8441741-2232969,1385.08,American Investments,Canadian Capital,CN,JP,+,SIC:DDI,Depot Especes,Particulier
757246,08SEP2022,9186400-1602286,2008.99,Pacific LLC,Inter Finance,CA,US,+,SIC:VMW,Transfert Internet,Entreprise
723398,18JUN2022,2375453-8033426,12548.76,United Limited,Pacific International,RU,FR,-,SIC:VMW,Transfert Internet,Joint
617488,14JAN2024,1790481-2839607,1086.93,United Holdings,American Management,DE,RU,-,SIC:VMW,Transfert Internet,Association
711868,02FEB2026,3860717-9795159,5226.05,Smith R,Wang M,JP,UK,+,SIC:VMW,Transfert Internet,Entreprise
103402,07MAY2025,5418934-9398441,4022.27,Canadian Limited,Global Management,US,MX,+,SIC:VMW,Transfert Internet,Joint
166613,02MAY2023,7402509-8852574,234.42,Trans Holdings,Pacific Consulting,JP,CA,-,SIC:VMW,Transfert Internet,Particulier
802667,06SEP2024,9831414-2567880,2364.03,Canadian Enterprises,Global Capital,CN,DE,-,SIC:VMW,Transfert Internet,Particulier
923975,01SEP2024,6347476-7984768,11386.01,Canadian Inc,Asian Finance,CN,CA,+,SIC:VMW,Transfert Internet,Entreprise
207573,23OCT2022,9655523-3091745,282.14,Brown L,Wang J,AE,CA,+,SIC:DDI,Depot Especes,Joint
274971,30MAY2026,5845843-3353785,8265.65,Davis M,Smith S,MX,US,+,SIC:VMW,Transfert Internet,Association
485416,14DEC2024,3300647-7420993,383.88,Global Investments,American Worldwide,AE,US,-,SIC:VMW,Transfert Internet,Entreprise
416282,19JAN2022,1522621-2020480,5841.04,Canadian Inc,Asian International,CH,UK,+,SIC:VMW,Transfert Internet,Particulier
841995,17MAY2021,8372274-9792411,1354.95,Miller W,Williams C,CN,CA,-,SIC:DDI,Depot Especes,Joint
986088,14OCT2021,2672884-9823994,9432.55,Global Partners,American Management,CA,FR,+,SIC:VMW,Transfert Internet,Trust
559450,06NOV2025,8590804-6350413,6821.58,Brown C,Garcia J,DE,UK,+,SIC:VMW,Transfert Internet,Particulier
934328,28OCT2024,7672565-4654579,2231.65,Smith R,Garcia M,US,RU,+,SIC:DDI,Depot Especes,Joint
861319,29SEP2022,9214801-3493017,1352.33,Canadian Enterprises,Atlantic Worldwide,US,DE,+,SIC:VMW,Transfert Internet,Joint
584487,06APR2021,3345338-3037647,8335.3,Williams J,Brown S,JP,MX,+,SIC:VMW,Transfert Internet,Entreprise
229592,07APR2024,7183841-5398338,1760.59,Global Enterprises,Atlantic Exchange,RU,US,+,SIC:VMW,Transfert Internet,Particulier
103717,21OCT2025,3194789-5394880,1433.21,Global Limited,Euro Consulting,AE,DE,+,SIC:VMW,Transfert Internet,Association
986088,30MAY2021,2672884-9823994,5804.0,Kim R,Smith E,JP,UK,+,SIC:VMW,Transfert Internet,Trust
498458,07APR2025,3588336-7536772,1979.89,Atlantic Enterprises,United Management,JP,RU,+,SIC:VMW,Transfert Internet,Particulier
240814,13APR2025,2936571-2795765,2725.26,Euro Holdings,Global Solutions,MX,BR,+,SIC:VMW,Transfert Internet,Joint
408036,22MAR2026,2721307-2343333,4052.87,Wang M,Wang F,RU,UK,+,SIC:VMW,Transfert Internet,Trust
115582,01APR2021,4991829-6431983,8595.03,Canadian Inc,Asian Services,DE,CH,-,SIC:DDI,Depot Especes,Entreprise
542374,26AUG2021,5673212-8761611,2180.87,Pacific Partners,Global Exchange,RU,BR,+,SIC:DDI,Depot Especes,Trust
868043,30JUN2025,5112546-3526084,7592.52,Inter Limited,Euro International,FR,RU,-,SIC:DDI,Depot Especes,Entreprise
690984,15APR2021,4158036-9258194,5235.62,Martinez E,Ali L,RU,CN,-,SIC:VMW,Transfert Internet,Particulier
405605,30AUG2025,9237735-5067204,96141.04,Asian Group,Asian Solutions,DE,MX,+,SIC:VMW,Transfert Internet,Joint
942700,02MAR2025,3177199-2446455,10251.83,Trans Partners,Canadian Management,AE,UK,+,SIC:VMW,Transfert Internet,Association
788637,29AUG2022,4762204-2815603,476.62,Global Enterprises,Canadian International,MX,CN,-,SIC:VMW,Transfert Internet,Particulier
789786,18DEC2023,5487028-1485753,6653.9,Smith F,Miller R,FR,MX,-,SIC:DDI,Depot Especes,Joint
210790,09JAN2025,8542478-8819107,11375.61,American Trading,Euro Consulting,RU,RU,+,SIC:VMW,Transfert Internet,Entreprise
332120,28DEC2025,2060605-8789116,3988.76,Asian Holdings,United Exchange,FR,CN,-,SIC:DDI,Depot Especes,Particulier
501574,01APR2022,7891662-1732280,624.81,Asian Investments,Inter International,CH,US,-,SIC:DDI,Depot Especes,Trust
860242,23SEP2021,2893218-1540516,509.68,Trans Holdings,Euro Consulting,FR,DE,-,SIC:VMW,Transfert Internet,Entreprise
571145,17FEB2022,3472100-8339571,1801.26,United Holdings,Trans Capital,DE,DE,-,SIC:DDI,Depot Especes,Trust
240814,15FEB2023,2936571-2795765,9400.73,Smith F,Ali R,BR,UK,-,SIC:DDI,Depot Especes,Joint
525110,23OCT2024,9430894-6217344,68927.75,Atlantic Trading,United Services,CH,FR,+,SIC:DDI,Depot Especes,Joint
556839,10MAY2024,7718433-9790632,810.64,Atlantic Enterprises,Asian International,DE,DE,+,SIC:VMW,Transfert Internet,Joint
283573,23DEC2023,7418028-5040453,6328.85,Pacific Partners,Asian Services,AE,MX,+,SIC:VMW,Transfert Internet,Entreprise
617488,23MAR2025,1790481-2839607,8372.13,Global Corporation,Trans Services,FR,JP,+,SIC:VMW,Transfert Internet,Association
114768,30JUN2025,6655803-5949685,9247.33,Pacific Trading,Atlantic Services,CN,JP,-,SIC:VMW,Transfert Internet,Entreprise
185461,21DEC2023,3372774-6869018,2865.91,Euro Holdings,Trans International,FR,FR,+,SIC:VMW,Transfert Internet,Entreprise
851413,07SEP2021,9537455-5587308,13336.61,Asian Holdings,Inter Exchange,JP,CN,-,SIC:DDI,Depot Especes,Entreprise
894993,29MAY2026,8987516-9234615,7029.03,Canadian Group,Trans Consulting,RU,FR,-,SIC:VMW,Transfert Internet,Joint
625119,26FEB2026,6802559-1900876,10039.29,Inter Corporation,Trans Finance,FR,AE,-,SIC:DDI,Depot Especes,Joint
385192,01AUG2025,2071594-5411563,22963.1,Martinez R,Jones D,UK,FR,+,SIC:VMW,Transfert Internet,Trust
683397,14JAN2024,6530541-3050700,4089.14,Global Holdings,Atlantic Worldwide,RU,DE,-,SIC:VMW,Transfert Internet,Particulier
904214,24NOV2022,7989166-1508113,1576.37,Global Trading,Trans International,CH,DE,+,SIC:DDI,Depot Especes,Joint
229592,20JAN2023,7183841-5398338,12502.77,Pacific Partners,Asian Exchange,US,CA,+,SIC:DDI,Depot Especes,Particulier
731650,13NOV2025,4706007-2746679,2276.94,Trans LLC,Atlantic International,CN,MX,-,SIC:VMW,Transfert Internet,Entreprise
699544,24OCT2024,9236745-3576811,2030.83,Trans Holdings,United Solutions,CH,DE,+,SIC:VMW,Transfert Internet,Particulier
925013,13FEB2025,5086407-3112652,16185.33,Brown S,Smith L,RU,FR,-,SIC:VMW,Transfert Internet,Association
143195,21JAN2026,1476028-2362693,10022.12,Euro Partners,Global Solutions,DE,CH,+,SIC:VMW,Transfert Internet,Entreprise
588461,01JUL2023,9679860-6779998,34354.72,Trans Inc,Asian Worldwide,CH,JP,+,SIC:VMW,Transfert Internet,Entreprise
468203,11DEC2024,9546409-7705490,4001.09,Smith J,Garcia J,RU,AE,-,SIC:VMW,Transfert Internet,Particulier
156215,30SEP2025,1160783-9130388,591.55,Smith L,Williams E,US,JP,+,SIC:VMW,Transfert Internet,Association
947272,12NOV2021,2642635-1848731,457.41,Williams S,Brown W,CA,DE,+,SIC:VMW,Transfert Internet,Particulier
911102,23MAR2024,6212643-6491198,448.08,Asian Group,Atlantic Consulting,CH,JP,+,SIC:DDI,Depot Especes,Joint
878325,29MAY2026,3592464-7960607,3787.01,Garcia C,Johnson J,AE,MX,+,SIC:VMW,Transfert Internet,Association
336047,27JUN2023,4468370-5514473,622.83,Canadian Trading,Global Management,DE,BR,+,SIC:DDI,Depot Especes,Particulier
958130,25OCT2025,3457461-5872986,12856.41,Jones M,Jones J,AE,CN,-,SIC:DDI,Depot Especes,Joint
103402,20NOV2021,5418934-9398441,238.9,Inter Partners,American Capital,MX,AE,-,SIC:VMW,Transfert Internet,Joint
242254,04MAY2026,8610879-7224540,5487.49,Davis W,Davis S,BR,RU,-,SIC:VMW,Transfert Internet,Association
122977,10SEP2023,3376537-2860938,3800.64,Jones S,Wang D,DE,AE,+,SIC:DDI,Depot Especes,Particulier
612262,10JAN2026,1852264-2548511,6011.91,Canadian Inc,Atlantic Management,BR,DE,+,SIC:DDI,Depot Especes,Particulier
111949,01APR2022,4517918-5186600,10254.86,Wang J,Ali M,UK,DE,-,SIC:VMW,Transfert Internet,Particulier
373668,15MAR2026,6284972-7592651,2302.05,Pacific Trading,Pacific Management,CA,MX,-,SIC:VMW,Transfert Internet,Joint
713762,03MAR2021,9249789-2530793,5069.9,Global Group,Inter Solutions,RU,CN,-,SIC:VMW,Transfert Internet,Joint
431535,18SEP2021,2217071-1156287,14613.59,Euro Trading,Trans Services,CA,UK,+,SIC:VMW,Transfert Internet,Particulier
753898,24APR2023,2716512-1123271,13077.13,Brown J,Martinez C,RU,AE,+,SIC:DDI,Depot Especes,Association
244283,30OCT2021,5813037-8926478,1919.52,Inter LLC,Trans Global,DE,RU,+,SIC:DDI,Depot Especes,Trust
