party_key,account_key,account_num,account_open_date,acct_is_active,acct_risk_level,relation,account_type_desc
802667,836971,9831414-2567880,23DEC2008,Y,4,Beneficiaire,Particulier
353480,589131,3055576-5487430,02MAR2000,Y,1,Detenteur,Particulier
156215,476479,1160783-9130388,14FEB1986,Y,1,Signataire,Association
944565,162241,6885707-9930189,10AUG1992,Y,4,Mandataire,Joint
455505,295892,9324908-9347057,23JUN1996,N,1,Beneficiaire,Particulier
108491,693419,1822825-9333700,11MAY2017,N,1,Beneficiaire,Entreprise
177558,570880,9040224-7724393,21DEC2003,Y,1,Signataire,Association
849747,307963,2275009-5074336,27JUL1984,Y,1,Beneficiaire,Association
117500,715895,2133008-1231415,05OCT1991,Y,1,Detenteur,Trust
877747,541409,9826250-2906718,12JUN2013,Y,1,Signataire,Joint
446337,852204,8925622-2686863,22JUL2010,Y,3,Detenteur,Association
578975,678043,3426689-7435505,19JUL1988,N,1,Mandataire,Particulier
111949,378095,4517918-5186600,03FEB2011,Y,2,Beneficiaire,Particulier
563864,787836,5302415-9037616,06AUG1989,Y,2,Beneficiaire,Association
864201,537017,2497984-4153037,25OCT1999,Y,5,Signataire,Trust
892911,123839,6005700-8767916,18MAR2010,Y,2,Signataire,Association
588899,659572,7027375-6174467,25SEP1991,Y,1,Signataire,Trust
229592,576877,7183841-5398338,22MAR2006,Y,2,Beneficiaire,Particulier
947458,664315,9111742-8799287,16JUL1999,N,1,Beneficiaire,Joint
297303,943737,4640933-9042900,15MAY1989,N,2,Beneficiaire,Joint
408857,963918,9058573-4349987,08MAY1984,Y,1,Mandataire,Joint
711680,470037,1816348-1847927,14AUG1992,Y,2,Signataire,Joint
807617,345180,8910069-1419843,16OCT2007,N,1,Beneficiaire,Association
705393,206694,4136665-7136988,15AUG1994,Y,1,Detenteur,Joint
626169,385765,3760597-5311242,28DEC2016,N,5,Beneficiaire,Joint
210790,272359,8542478-8819107,01FEB1994,Y,1,Beneficiaire,Entreprise
899649,392099,4794319-8199311,29NOV2017,Y,1,Detenteur,Association
274971,613426,5845843-3353785,23MAY1988,Y,1,Signataire,Association
731661,260295,2264218-3972018,01SEP2014,Y,1,Signataire,Association
563246,563638,4585314-9576076,23MAR2001,Y,1,Mandataire,Particulier
452713,631958,9551583-9931180,21DEC2001,Y,2,Beneficiaire,Trust
949884,815054,6361793-6828829,30OCT2011,Y,1,Beneficiaire,Joint
440839,794395,9025733-9816043,25NOV1996,Y,3,Mandataire,Trust
162535,273982,6160869-5842082,13SEP1999,Y,4,Beneficiaire,Trust
685196,412999,4772642-5993143,04AUG2014,Y,4,Mandataire,Trust
468203,772642,9546409-7705490,25JUN2010,N,2,Beneficiaire,Particulier
554582,479781,8713146-3566765,15JUL1999,Y,1,Beneficiaire,Association
626195,912617,8912226-2044906,29AUG2011,Y,1,Mandataire,Association
502349,543588,4116429-9164971,04JUL2008,Y,2,Mandataire,Association
879779,597732,8550917-5348512,21SEP2013,Y,1,Beneficiaire,Association
665158,375504,8187926-7700828,27MAR1996,Y,1,Mandataire,Association
908320,665990,9833734-1633297,10SEP2009,Y,2,Mandataire,Association
274446,827712,6024207-1485654,23JAN1982,Y,1,Detenteur,Joint
723398,141672,2375453-8033426,27JUN2009,Y,2,Beneficiaire,Joint
856157,427905,4184887-3673322,08MAY2002,N,1,Signataire,Trust
239816,940346,8795419-9910914,26JAN2005,Y,3,Signataire,Association
722886,743453,9098979-1519979,07MAY1999,N,1,Mandataire,Association
862120,469685,8297090-5606274,07SEP2008,N,4,Detenteur,Particulier
280222,940247,8719145-7070880,14DEC1983,Y,1,Detenteur,Entreprise
463656,435039,3816683-2488575,09NOV2016,Y,3,Beneficiaire,Trust
678727,899929,7328534-8639414,08JUN1994,N,3,Mandataire,Association
265613,526673,8980915-9010256,07MAR2009,Y,3,Beneficiaire,Joint
367382,313214,6540893-2326581,05MAR2000,N,5,Detenteur,Association
495019,261745,3722056-4034091,16APR2017,Y,1,Mandataire,Trust
731650,433674,4706007-2746679,04APR2002,Y,2,Detenteur,Entreprise
516224,766275,3078241-1512765,07NOV1990,Y,3,Signataire,Entreprise
663772,745972,3561552-5655136,01OCT1983,Y,5,Mandataire,Entreprise
894993,351997,8987516-9234615,07FEB2000,Y,4,Detenteur,Joint
614084,847006,8441741-2232969,03MAY2020,Y,1,Mandataire,Particulier
538184,978292,3949245-1609681,05JUL2017,Y,1,Signataire,Entreprise
953085,897441,1615675-8630712,13DEC1983,Y,1,Beneficiaire,Particulier
561999,584106,5727345-7406756,23JUL2002,Y,2,Mandataire,Entreprise
409898,777558,1915518-5015476,14MAR2002,Y,1,Mandataire,Trust
966120,181670,7254683-3003215,09JUL2002,Y,1,Detenteur,Entreprise
822040,238320,6064462-3667199,23MAR2019,N,1,Beneficiaire,Particulier
397571,640490,6623525-2566777,17SEP2016,N,1,Mandataire,Joint
680493,163946,7494562-9767475,11OCT1998,N,4,Signataire,Association
878325,861894,3592464-7960607,18MAY2009,Y,2,Signataire,Association
786385,477943,5200835-2382787,05SEP1996,Y,4,Mandataire,Particulier
258471,888775,2622400-2437930,20DEC2009,Y,2,Signataire,Association
629990,784793,9304216-7864135,18SEP2010,Y,3,Signataire,Trust
400614,117975,9425786-8223819,29FEB2016,N,2,Mandataire,Particulier
642717,573417,3030113-5159166,29JAN1990,Y,1,Detenteur,Association
145814,530816,7111929-4985095,04DEC1999,Y,1,Signataire,Entreprise
235461,498676,9935249-4860617,10JUN2002,Y,1,Beneficiaire,Particulier
829988,384815,3303058-2832517,14AUG2007,Y,3,Mandataire,Entreprise
923975,649939,6347476-7984768,24APR1998,Y,2,Signataire,Entreprise
786587,261859,2255409-8876745,21JAN2015,N,1,Beneficiaire,Association
789786,969752,5487028-1485753,03FEB1988,Y,1,Beneficiaire,Joint
550797,216276,5752087-9164342,21AUG2003,Y,2,Detenteur,Entreprise
734565,906360,7655572-6475691,30APR1981,Y,1,Signataire,Trust
386488,230521,7174337-8330827,25NOV2019,Y,1,Signataire,Trust
361805,253347,6403886-5153279,26FEB2014,N,1,Signataire,Trust
720647,695403,2044933-8297801,18SEP2009,N,3,Mandataire,Joint
720970,550418,7523581-1074659,12AUG2011,Y,4,Beneficiaire,Particulier
339220,473095,7298619-8245206,01MAY1988,Y,2,Signataire,Particulier
659951,350786,6192009-8868776,19JUL2020,N,4,Beneficiaire,Association
246566,147549,1624315-6106390,05FEB2002,Y,1,Mandataire,Association
772124,276827,3586950-3872269,19JUL2009,Y,4,Beneficiaire,Association
867926,558089,9173859-6323132,25OCT1987,Y,1,Beneficiaire,Entreprise
733039,362529,1433940-2532210,08APR1990,N,2,Detenteur,Joint
543555,830429,9164991-3597059,08JUL1988,Y,1,Detenteur,Association
110139,217308,2262382-3500715,21JUN2004,Y,1,Beneficiaire,Association
665492,891952,4374754-6229731,24NOV1997,N,1,Beneficiaire,Trust
259814,305721,6534221-4859072,14JAN1997,Y,3,Mandataire,Trust
485416,413791,3300647-7420993,11SEP2014,N,1,Mandataire,Entreprise
320281,815198,5186414-2724590,12NOV1995,Y,1,Signataire,Association
983788,615500,2647814-4824490,10JAN1986,Y,5,Signataire,Joint
111060,203396,5340909-4724560,27NOV2002,Y,2,Mandataire,Trust
795928,930884,3551903-9310235,29AUG1981,Y,1,Beneficiaire,Particulier
904214,699929,7989166-1508113,04MAY2002,N,5,Beneficiaire,Joint
725084,929151,4786401-9767312,23JAN1997,Y,1,Signataire,Joint
498858,600149,1098919-6901533,24MAY1993,Y,5,Signataire,Association
430926,425138,9646701-7681090,29JUL2016,Y,2,Beneficiaire,Particulier
408036,436814,2721307-2343333,16SEP1994,Y,5,Beneficiaire,Trust
573869,423284,8773665-5446095,29MAR2018,Y,3,Mandataire,Joint
244283,140163,5813037-8926478,23MAR2011,N,2,Signataire,Trust
309267,956253,8722606-6866294,09SEP1993,N,1,Mandataire,Entreprise
574751,385166,4919346-2253047,03FEB1989,Y,1,Detenteur,Entreprise
207570,112861,5770422-8875173,22JUN2001,Y,2,Mandataire,Particulier
209627,409783,7978909-2440404,16MAR1985,N,2,Mandataire,Joint
138551,929130,7031903-2425760,26NOV1984,Y,2,Beneficiaire,Entreprise
494763,992952,6850369-8700708,21APR1991,Y,5,Beneficiaire,Association
200992,649857,3498085-5042786,10AUG1988,Y,1,Beneficiaire,Joint
156837,296694,9697969-7069650,06DEC2007,Y,4,Signataire,Particulier
363615,341736,3024269-4231028,25FEB1994,Y,3,Mandataire,Entreprise
860053,686716,5072543-9742683,10AUG1987,Y,2,Mandataire,Entreprise
885884,262060,4971793-3726327,18NOV2015,N,4,Signataire,Particulier
401601,729575,6242022-6899644,24AUG1984,Y,3,Mandataire,Entreprise
989079,988217,6060836-4446807,23MAR2003,Y,4,Mandataire,Trust
946305,785743,9874152-1131249,16DEC2009,N,3,Beneficiaire,Particulier
144618,340927,4546989-8977571,28FEB1992,Y,1,Detenteur,Joint
531709,746002,8421969-4644760,21NOV1983,N,2,Mandataire,Particulier
885386,403528,1628578-1155477,20MAY1993,Y,1,Detenteur,Joint
264951,367508,2726457-2934976,31MAR1990,Y,3,Detenteur,Particulier
559450,857065,8590804-6350413,05JAN1983,Y,2,Detenteur,Particulier
722937,631699,7450545-8763013,12JAN2006,Y,1,Detenteur,Trust
802685,209680,3698193-6533187,19JUN1998,Y,1,Beneficiaire,Trust
944657,226935,1689025-6825112,24NOV2003,Y,4,Beneficiaire,Particulier
736565,563516,7948850-5582979,01SEP1989,Y,1,Detenteur,Joint
940181,734035,3321942-5194357,04MAY1982,Y,1,Beneficiaire,Association
999138,137081,8035849-4766741,08JUN1994,Y,3,Beneficiaire,Joint
898207,497542,5668371-8072684,26APR1991,N,3,Signataire,Particulier
404309,502810,8015136-5165284,25OCT2018,N,4,Beneficiaire,Association
288073,872343,6573147-7907400,26DEC2015,Y,1,Mandataire,Joint
466566,127965,7960815-1893502,13OCT1997,Y,1,Mandataire,Trust
862400,545120,2324175-8224389,09JAN2007,N,1,Mandataire,Association
916449,656116,1009594-6438436,01DEC2001,Y,3,Beneficiaire,Joint
389666,910208,7961578-6702160,02MAY2015,Y,4,Detenteur,Joint
128783,505343,1833006-3733132,20APR2018,Y,4,Mandataire,Entreprise
975194,990704,7528964-6565503,20MAR1997,Y,3,Mandataire,Particulier
497700,963355,4853123-5152562,29AUG2000,Y,2,Beneficiaire,Entreprise
846221,393418,2560728-1736524,20MAY1990,N,1,Signataire,Joint
573209,177289,1560573-5947745,24NOV1980,Y,1,Detenteur,Particulier
911102,985885,6212643-6491198,16NOV1983,Y,1,Detenteur,Joint
161483,272634,7358113-1036161,06JUL1997,Y,3,Signataire,Joint
398384,576419,9796605-9286475,21NOV2019,N,1,Signataire,Joint
896788,707616,8531380-6422534,07OCT2018,N,2,Beneficiaire,Entreprise
662728,257131,3760475-6504900,30APR2018,Y,1,Detenteur,Entreprise
329659,130726,5713268-1982997,09APR2016,N,1,Beneficiaire,Association
337547,244247,3599548-2294615,08APR1993,N,3,Detenteur,Association
757694,255061,5326615-6364506,08NOV2020,Y,5,Detenteur,Particulier
612262,363319,1852264-2548511,14JUN2008,Y,2,Beneficiaire,Particulier
757246,853629,9186400-1602286,12SEP2007,Y,3,Beneficiaire,Entreprise
108454,829386,6764217-3023227,04AUG2018,Y,3,Mandataire,Trust
242254,507524,8610879-7224540,28JAN2010,N,2,Signataire,Association
302177,948102,2889899-6547958,16APR1987,Y,2,Beneficiaire,Entreprise
994141,656926,3641282-1954280,12OCT2002,Y,2,Mandataire,Particulier
565504,900152,2289923-3310140,01OCT2003,Y,2,Beneficiaire,Joint
542374,292401,5673212-8761611,16MAR1991,N,1,Detenteur,Trust
620526,463546,9774573-9677559,14FEB2015,N,2,Beneficiaire,Entreprise
383060,771088,4684531-6440561,22OCT2017,Y,2,Detenteur,Entreprise
910620,403445,2338687-4905582,13NOV2018,Y,1,Beneficiaire,Trust
422623,935457,1447065-8962302,29NOV1991,N,3,Mandataire,Particulier
876513,146385,7748892-8364573,06JUL1990,Y,2,Detenteur,Entreprise
567429,146784,5417373-8377620,10NOV2000,Y,5,Beneficiaire,Association
348235,928766,9288312-1440972,09MAR1996,Y,2,Beneficiaire,Trust
380310,933551,7658817-2325722,25SEP1996,N,1,Signataire,Association
961574,813793,5063384-1529665,06SEP2005,N,3,Detenteur,Entreprise
230272,999312,3650523-8403549,23JUN2000,Y,3,Signataire,Entreprise
198042,524965,7362994-7327855,16OCT2004,Y,1,Detenteur,Entreprise
492292,510133,8768911-9396422,05OCT1986,Y,1,Detenteur,Trust
293757,247442,9010350-6429135,16FEB1991,Y,2,Signataire,Entreprise
219781,464825,6905327-8681625,10SEP2007,Y,1,Beneficiaire,Association
885408,665621,1873851-6871360,21JAN1990,Y,3,Detenteur,Particulier
690984,249005,4158036-9258194,26APR2004,Y,4,Signataire,Particulier
416422,250219,9745141-4708481,20JUL1998,Y,3,Detenteur,Association
220351,671015,4771676-3499627,30SEP2020,Y,2,Mandataire,Particulier
348728,499889,7022335-5963914,14MAY2011,Y,4,Signataire,Joint
909676,748665,5955645-5134741,27DEC2011,Y,2,Beneficiaire,Entreprise
102805,528361,8558197-8883823,23JAN1993,Y,2,Beneficiaire,Joint
797860,717558,3941912-7348231,05OCT1993,Y,1,Beneficiaire,Entreprise
540869,797229,7361002-3919694,11AUG2007,Y,2,Signataire,Association
335552,945742,4340845-3472189,04FEB1981,Y,1,Signataire,Association
238741,778818,3905824-1141997,14JAN1990,Y,2,Beneficiaire,Joint
174268,340068,7426846-2498726,11OCT2012,N,3,Detenteur,Joint
140804,243693,6587495-8948107,18APR2003,Y,5,Mandataire,Joint
424308,799287,7851696-6472441,18JAN1998,Y,4,Mandataire,Entreprise
683390,516656,6471499-5633880,24APR2003,Y,4,Detenteur,Association
207391,871740,5152891-5994727,29MAR2019,N,1,Signataire,Joint
194511,409445,6481437-7970985,17NOV1987,Y,1,Beneficiaire,Association
116078,322096,4188068-2968239,02JUL2013,N,2,Signataire,Entreprise
704596,299312,5273534-1744682,17OCT2011,Y,3,Mandataire,Joint
769077,722780,2191383-9863176,12NOV2019,N,1,Beneficiaire,Joint
115582,475644,4991829-6431983,15SEP1980,Y,5,Detenteur,Entreprise
961722,133659,6292423-7730428,04JAN1992,Y,1,Beneficiaire,Entreprise
385470,624783,9284509-8344375,10AUG1983,Y,1,Signataire,Joint
426147,213349,1430812-6233774,29OCT2005,Y,1,Signataire,Trust
553633,627290,1929673-3083077,29MAR2003,Y,4,Mandataire,Entreprise
475876,493049,8225725-3442255,14DEC1990,Y,2,Mandataire,Entreprise
399279,777273,1992583-2500901,05APR2009,Y,4,Detenteur,Entreprise
238353,638179,7969667-8663806,18APR2005,Y,3,Signataire,Joint
445705,199096,7485471-5767195,21APR1991,Y,1,Mandataire,Joint
731894,852524,8149041-3795835,10DEC2010,Y,1,Signataire,Particulier
227767,150068,5000351-8043503,29AUG2008,Y,1,Signataire,Particulier
991014,905819,2221854-8640615,04AUG1998,N,1,Mandataire,Trust
785436,477017,4964499-2042273,15DEC2009,Y,2,Beneficiaire,Entreprise
103402,857168,5418934-9398441,06MAR2014,Y,1,Detenteur,Joint
597635,715388,6867997-6775539,03MAY1987,Y,4,Beneficiaire,Particulier
525110,819400,9430894-6217344,18DEC2010,Y,1,Beneficiaire,Joint
890170,989921,4965789-3790237,25MAR1998,Y,2,Mandataire,Trust
498458,846247,3588336-7536772,16MAR1994,Y,1,Detenteur,Particulier
283573,182804,7418028-5040453,28APR2002,N,2,Mandataire,Entreprise
841995,559022,8372274-9792411,13JUN2003,Y,4,Beneficiaire,Joint
845702,360276,6968373-7647878,12JAN2003,Y,3,Beneficiaire,Joint
158900,469038,9511700-2244712,03DEC1993,Y,2,Detenteur,Particulier
954596,854213,9468772-8159521,04APR2017,N,1,Signataire,Entreprise
778428,742439,1743175-7704473,05OCT2013,Y,4,Signataire,Particulier
402620,177103,7481857-9460003,14MAR2000,Y,2,Beneficiaire,Association
982554,769987,9517169-4337174,09NOV1986,Y,5,Mandataire,Association
713762,557058,9249789-2530793,30JAN2001,Y,1,Beneficiaire,Joint
840734,324345,2077581-7960328,14APR1998,Y,3,Signataire,Trust
831063,681028,5450404-5723173,04MAY1993,Y,1,Detenteur,Trust
851413,406039,9537455-5587308,21AUG1998,N,3,Signataire,Entreprise
555292,264735,1898516-2698824,07NOV1994,Y,5,Mandataire,Trust
249077,705474,5508325-7949543,29OCT1996,Y,1,Detenteur,Trust
993085,357420,2453962-5679639,19JUL2019,Y,1,Signataire,Association
641922,939333,3473761-3017994,18DEC2013,Y,4,Mandataire,Entreprise
966529,838936,1676621-4607450,30JUN2017,N,1,Mandataire,Particulier
245939,764100,6080688-5060441,02MAY1991,Y,2,Signataire,Trust
402692,276379,8672579-9309978,28AUG2004,Y,3,Detenteur,Joint
165290,316881,8048838-7534336,02AUG2020,Y,1,Detenteur,Association
196446,988432,6562484-3055673,30NOV1981,N,1,Detenteur,Entreprise
242239,918430,9796063-1485669,17OCT1987,Y,5,Mandataire,Particulier
119857,562462,6262886-8025967,17OCT1986,Y,1,Mandataire,Trust
316092,170559,2692765-1563316,10JAN2000,Y,5,Detenteur,Entreprise
711868,603787,3860717-9795159,19MAR2008,Y,2,Signataire,Entreprise
361736,218959,1434753-4121368,21MAY2002,Y,2,Detenteur,Joint
527940,393328,1548888-7216461,29SEP1989,Y,1,Mandataire,Joint
838253,406849,5854206-5485272,27JUN2018,Y,3,Detenteur,Entreprise
947272,997546,2642635-1848731,02APR2009,N,1,Detenteur,Particulier
663750,323508,9487336-5449324,10DEC1985,N,4,Detenteur,Entreprise
739979,800646,7358385-6643798,15APR1981,Y,1,Beneficiaire,Entreprise
638169,722503,2829622-8583392,07AUG2002,Y,2,Detenteur,Association
224395,287143,7594429-9872505,17SEP1985,Y,2,Mandataire,Particulier
483713,147440,7720644-1858283,31JUL2005,Y,2,Beneficiaire,Association
197584,725920,6443037-7463219,21JUL1980,Y,2,Signataire,Particulier
552248,173372,6539837-6266630,03OCT2009,N,4,Beneficiaire,Association
219420,691240,4352088-4018677,31JUL2010,Y,1,Detenteur,Trust
232321,388375,6455706-7390515,18OCT2006,Y,3,Signataire,Association
901280,367931,5856117-6504979,19MAY1985,Y,2,Signataire,Entreprise
335615,982277,2903561-8741810,08APR1985,Y,4,Mandataire,Trust
883041,194769,8280833-2651601,08FEB2014,Y,4,Detenteur,Trust
689849,332022,3448176-1272124,12SEP1991,Y,2,Signataire,Joint
570646,684041,9597330-7845845,19AUG1984,Y,1,Beneficiaire,Association
814825,663054,5476583-6707197,01JAN1985,Y,3,Mandataire,Trust
933456,120478,7417252-7024901,08JUL2001,Y,3,Signataire,Joint
886530,923856,7905438-1994652,09JUN1992,N,3,Mandataire,Entreprise
683397,162894,6530541-3050700,05JUN1998,Y,1,Signataire,Particulier
617488,195325,1790481-2839607,09NOV1986,Y,4,Signataire,Association
572407,208529,6761929-2414808,19AUG2002,Y,4,Detenteur,Entreprise
334026,943409,9653253-1770553,25DEC1997,Y,2,Signataire,Joint
881975,598302,5506097-7248518,27NOV1980,Y,3,Beneficiaire,Joint
665427,238739,8930103-5076817,13MAR2015,Y,1,Signataire,Entreprise
344068,267378,2679975-5158351,19JUN2009,Y,3,Detenteur,Entreprise
723945,843266,2421349-6193922,26JAN2005,Y,3,Beneficiaire,Entreprise
305837,765905,5604524-3100009,14JAN2008,Y,1,Detenteur,Association
722651,746624,4280754-8681643,18OCT1984,Y,2,Detenteur,Trust
458411,278368,7299138-3699529,31OCT2012,Y,4,Detenteur,Joint
970720,916990,8795078-9028420,03MAY2008,Y,3,Mandataire,Particulier
647945,919656,8039616-2887752,04AUG1998,Y,5,Detenteur,Particulier
889882,778324,4206183-5800144,05JAN1996,N,1,Detenteur,Joint
859782,969695,4195751-1864641,16JAN1992,Y,3,Detenteur,Particulier
384913,452161,6363836-2351868,17MAR1986,Y,1,Signataire,Entreprise
112884,356430,1771442-8914896,29APR1996,Y,3,Mandataire,Entreprise
853258,434827,6794356-7689354,12NOV1985,Y,1,Detenteur,Joint
630538,778998,6724909-1212267,09FEB2018,Y,2,Signataire,Particulier
851742,711474,9201172-2525747,27APR2020,Y,2,Detenteur,Trust
611233,322423,6952975-5334434,08APR1995,Y,3,Beneficiaire,Association
704238,142185,3939212-8893693,12APR2003,Y,3,Beneficiaire,Entreprise
943298,220764,8857296-2263313,25APR1986,Y,5,Mandataire,Trust
501451,694799,1543335-3574265,17JUN2010,Y,2,Beneficiaire,Joint
738720,765822,3871230-9961380,15SEP2012,Y,3,Signataire,Trust
185916,596574,2937918-6173311,17MAR2015,Y,4,Signataire,Joint
515594,755993,6125594-4928281,03APR1999,Y,4,Detenteur,Particulier
734836,551096,2663938-2919549,03APR2018,Y,1,Mandataire,Trust
656711,460455,8138769-6549757,13OCT1995,Y,1,Beneficiaire,Joint
276405,868367,6908535-3839807,12APR1986,Y,1,Signataire,Entreprise
876962,763928,1514340-2539438,20JUN2013,Y,2,Signataire,Trust
560959,535810,9124385-8792046,24FEB1989,Y,4,Mandataire,Joint
679364,255287,8210624-3138181,16NOV1981,Y,2,Detenteur,Joint
208998,315161,9888812-4995789,31OCT1998,Y,1,Detenteur,Entreprise
771590,789237,8250013-7636771,23APR1981,Y,5,Mandataire,Trust
573489,339592,7942639-6686328,11FEB2017,Y,2,Signataire,Particulier
290556,152727,5364698-7360307,07SEP1994,Y,3,Beneficiaire,Joint
912609,372933,8487220-4599894,12JUN2007,Y,1,Signataire,Entreprise
744481,331577,4676367-3240912,13JUN2001,Y,1,Beneficiaire,Trust
185569,493124,4767135-1472908,18APR1994,N,1,Beneficiaire,Entreprise
191982,393366,7425930-3302438,21OCT1998,Y,5,Mandataire,Association
837135,576086,2194198-4916201,13NOV1991,Y,1,Mandataire,Trust
883826,870319,4700025-9191131,04NOV1989,Y,3,Signataire,Particulier
