party_key,account_key,account_num,trx_date,amount,branch,sign,transaction_type,transaction_type_desc,account_type_desc
416282,580292,1522621-2020480,17MAR2023,162.26,811711,-,SIC:POS,Achat POS,Particulier
690984,249005,4158036-9258194,06AUG2022,76.43,812291,+,SIC:VMW,Transfert Internet,Particulier
204180,818987,7162857-7017548,02JAN2020,21.74,813286,-,SIC:CHQ,Cheque,Particulier
386488,230521,7174337-8330827,17DEC2023,49.38,817924,-,SIC:ATM,Retrait ATM,Trust
475876,493049,8225725-3442255,03MAR2020,24.67,814657,-,SIC:ATM,Retrait ATM,Entreprise
445705,199096,7485471-5767195,11MAR2023,9.39,816881,-,SIC:DPT,Paiement facture,Joint
489933,233096,5509119-2980663,24NOV2023,50.98,814257,+,SIC:VMW,Transfert Internet,Trust
734565,906360,7655572-6475691,05FEB2025,2.78,816635,+,SIC:VMW,Transfert Internet,Trust
788637,605612,4762204-2815603,25JUL2024,19.72,816881,+,SIC:DPT,Paiement facture,Particulier
452713,631958,9551583-9931180,24OCT2023,28.84,812519,-,SIC:ATM,Retrait ATM,Trust
432441,603110,6851946-5587856,21OCT2022,27.5,813615,-,SIC:VMW,Transfert Internet,Trust
165290,316881,8048838-7534336,23OCT2023,71.51,814527,-,SIC:ATM,Retrait ATM,Association
483366,891638,3420404-4339637,22APR2020,102.14,811434,+,SIC:POS,Achat POS,Particulier
690984,249005,4158036-9258194,21JUN2022,6135.21,814811,-,SIC:CHQ,Cheque,Particulier
196446,988432,6562484-3055673,17DEC2023,159.01,812824,-,SIC:DPT,Paiement facture,Entreprise
144618,340927,4546989-8977571,13OCT2022,20.45,817924,-,SIC:DPT,Paiement facture,Joint
176577,147489,8108462-6780235,07NOV2020,1445.8,811488,+,SIC:DPT,Paiement facture,Particulier
885408,665621,1873851-6871360,14JUN2022,17.09,814257,+,SIC:POS,Achat POS,Particulier
982554,769987,9517169-4337174,17FEB2022,5.92,812535,+,SIC:VMW,Transfert Internet,Association
323788,599968,2307594-3226333,23DEC2022,91.99,812535,-,SIC:ATM,Retrait ATM,Particulier
923975,649939,6347476-7984768,29DEC2023,63.0,812679,+,SIC:DDI,Depot Especes,Entreprise
112884,356430,1771442-8914896,10JUL2025,2.71,811750,-,SIC:DDI,Depot Especes,Entreprise
883826,870319,4700025-9191131,29MAY2025,250.11,814611,+,SIC:ATM,Retrait ATM,Particulier
186702,624139,8279795-6557798,30JAN2023,35.31,811750,-,SIC:DPT,Paiement facture,Association
432441,603110,6851946-5587856,17JUN2024,610.56,816635,+,SIC:ATM,Retrait ATM,Trust
191982,393366,7425930-3302438,29SEP2024,55.8,812584,+,SIC:DPT,Paiement facture,Association
274446,827712,6024207-1485654,31MAY2024,33.61,814733,+,SIC:DDI,Depot Especes,Joint
953085,897441,1615675-8630712,23OCT2025,125.15,815803,+,SIC:POS,Achat POS,Particulier
348728,499889,7022335-5963914,13MAY2022,90.83,812679,+,SIC:ATM,Retrait ATM,Joint
574751,385166,4919346-2253047,29NOV2022,47.61,811434,+,SIC:CHQ,Cheque,Entreprise
238394,505629,8060918-7130603,06NOV2023,11.29,812674,+,SIC:CHQ,Cheque,Particulier
487477,398830,3646552-8351517,04MAR2024,2.94,817924,+,SIC:VMW,Transfert Internet,Association
720970,550418,7523581-1074659,21JUN2021,54.98,812291,+,SIC:DDI,Depot Especes,Particulier
198907,201639,8231838-6944126,10JAN2023,10.24,816881,+,SIC:CHQ,Cheque,Particulier
659951,350786,6192009-8868776,14MAR2022,241.18,812139,+,SIC:DDI,Depot Especes,Association
525110,819400,9430894-6217344,24DEC2021,321.64,812424,-,SIC:POS,Achat POS,Joint
578975,678043,3426689-7435505,18OCT2025,9.06,814611,-,SIC:DPT,Paiement facture,Particulier
620526,463546,9774573-9677559,24OCT2022,4.95,816635,+,SIC:DDI,Depot Especes,Entreprise
348041,721301,6335227-7019382,31OCT2021,440.32,811434,+,SIC:POS,Achat POS,Association
933456,120478,7417252-7024901,29JAN2021,122.75,818359,+,SIC:DPT,Paiement facture,Joint
714590,371393,2258076-1365746,21NOV2022,43.62,816574,+,SIC:POS,Achat POS,Entreprise
786587,261859,2255409-8876745,25MAR2022,225.87,813045,-,SIC:VMW,Transfert Internet,Association
416422,250219,9745141-4708481,11MAR2023,562.35,812291,-,SIC:POS,Achat POS,Association
128783,505343,1833006-3733132,04JAN2025,11.4,813286,+,SIC:DPT,Paiement facture,Entreprise
861319,413058,9214801-3493017,14MAR2025,67.19,817912,-,SIC:POS,Achat POS,Joint
203398,941814,8876742-6372622,13OCT2023,78.95,818527,-,SIC:DDI,Depot Especes,Particulier
386488,230521,7174337-8330827,20NOV2020,42.76,814811,+,SIC:POS,Achat POS,Trust
966120,181670,7254683-3003215,08APR2023,19.17,811711,-,SIC:DPT,Paiement facture,Entreprise
662728,257131,3760475-6504900,27DEC2024,7.8,811106,-,SIC:ATM,Retrait ATM,Entreprise
399279,777273,1992583-2500901,18JAN2025,265.62,811488,-,SIC:VMW,Transfert Internet,Entreprise
611233,322423,6952975-5334434,19AUG2022,187.59,812139,-,SIC:DDI,Depot Especes,Association
200992,649857,3498085-5042786,12MAY2022,6606.35,812679,+,SIC:CHQ,Cheque,Joint
111949,378095,4517918-5186600,08AUG2020,6231.36,817924,-,SIC:DDI,Depot Especes,Particulier
739979,800646,7358385-6643798,01MAR2021,3.25,817912,+,SIC:CHQ,Cheque,Entreprise
361736,218959,1434753-4121368,21JUN2023,24.7,812139,+,SIC:POS,Achat POS,Joint
310418,405759,6098752-5069884,01JUN2021,36.12,811520,+,SIC:POS,Achat POS,Entreprise
890170,989921,4965789-3790237,01JAN2024,1051.6,814611,-,SIC:CHQ,Cheque,Trust
946305,785743,9874152-1131249,20JAN2023,22.45,812424,-,SIC:POS,Achat POS,Particulier
329471,284430,9689889-8793853,26DEC2021,47.31,814527,-,SIC:POS,Achat POS,Trust
669408,690882,1552000-4009069,16NOV2024,18.83,819785,-,SIC:DPT,Paiement facture,Association
894993,351997,8987516-9234615,26MAY2025,23.79,813286,+,SIC:DPT,Paiement facture,Joint
153231,802371,9909397-4786141,15AUG2024,66.01,817873,+,SIC:ATM,Retrait ATM,Trust
491439,827120,3371602-9570219,12JUL2021,66.05,816514,-,SIC:POS,Achat POS,Association
592972,145649,7490791-7262974,07JUL2025,65.98,816514,+,SIC:CHQ,Cheque,Particulier
665427,238739,8930103-5076817,14APR2023,16.17,812824,-,SIC:VMW,Transfert Internet,Entreprise
293757,247442,9010350-6429135,13AUG2024,13.39,815552,+,SIC:VMW,Transfert Internet,Entreprise
577309,635593,7041876-1930113,15MAY2024,31.14,814811,+,SIC:CHQ,Cheque,Joint
575682,457455,3640889-7208460,08SEP2022,111.83,818527,-,SIC:POS,Achat POS,Particulier
992717,265156,3920762-7064832,18JAN2023,169.96,812139,-,SIC:DPT,Paiement facture,Entreprise
626195,912617,8912226-2044906,18AUG2024,286.85,814657,+,SIC:DPT,Paiement facture,Association
909676,748665,5955645-5134741,28MAR2021,33.09,818527,+,SIC:POS,Achat POS,Entreprise
198907,201639,8231838-6944126,08JUL2025,38.2,811409,+,SIC:ATM,Retrait ATM,Particulier
389666,910208,7961578-6702160,31MAR2020,5.59,812679,+,SIC:VMW,Transfert Internet,Joint
361736,218959,1434753-4121368,30NOV2024,62.45,814811,+,SIC:DDI,Depot Especes,Joint
831063,681028,5450404-5723173,14JUL2025,60.33,816574,+,SIC:CHQ,Cheque,Trust
485416,413791,3300647-7420993,01MAR2024,60.95,815506,+,SIC:VMW,Transfert Internet,Entreprise
739979,800646,7358385-6643798,17AUG2020,10.0,817924,+,SIC:CHQ,Cheque,Entreprise
851413,406039,9537455-5587308,13JAN2022,12.02,811434,-,SIC:DDI,Depot Especes,Entreprise
849747,307963,2275009-5074336,14MAY2021,44.33,816925,+,SIC:CHQ,Cheque,Association
208998,315161,9888812-4995789,09OCT2022,324.1,815506,+,SIC:POS,Achat POS,Entreprise
864201,537017,2497984-4153037,19JAN2021,24.92,817224,-,SIC:VMW,Transfert Internet,Trust
541557,414313,9124053-2290526,20APR2025,57.55,817873,-,SIC:VMW,Transfert Internet,Trust
641922,939333,3473761-3017994,21JUN2020,365.37,812139,-,SIC:ATM,Retrait ATM,Entreprise
959926,282313,1521470-7784575,15MAY2021,714.38,819785,+,SIC:DPT,Paiement facture,Particulier
573209,177289,1560573-5947745,01AUG2020,261.65,814582,-,SIC:VMW,Transfert Internet,Particulier
176577,147489,8108462-6780235,13NOV2024,20.37,811520,-,SIC:ATM,Retrait ATM,Particulier
458411,278368,7299138-3699529,05MAY2021,18.82,819279,+,SIC:DDI,Depot Especes,Joint
778428,742439,1743175-7704473,30APR2025,39.16,817912,+,SIC:DDI,Depot Especes,Particulier
858414,122827,7642917-5269083,15OCT2022,57.67,813286,-,SIC:DPT,Paiement facture,Association
514463,728437,1919088-1128967,02SEP2020,2.16,813045,+,SIC:ATM,Retrait ATM,Entreprise
502349,543588,4116429-9164971,15MAR2021,564.23,814811,+,SIC:ATM,Retrait ATM,Association
229592,576877,7183841-5398338,23NOV2023,34.36,813547,-,SIC:DDI,Depot Especes,Particulier
431535,888387,2217071-1156287,27MAR2024,31.8,812424,+,SIC:DDI,Depot Especes,Particulier
575682,457455,3640889-7208460,10JUN2025,53.43,816881,+,SIC:POS,Achat POS,Particulier
541557,414313,9124053-2290526,30JUN2025,4.46,811488,-,SIC:DPT,Paiement facture,Trust
592972,145649,7490791-7262974,02APR2025,16.44,811711,-,SIC:ATM,Retrait ATM,Particulier
879779,597732,8550917-5348512,18OCT2021,14.28,817912,+,SIC:DPT,Paiement facture,Association
219420,691240,4352088-4018677,12FEB2024,206.37,814733,-,SIC:CHQ,Cheque,Trust
480211,423869,4024309-4593556,29JAN2022,331.56,818527,-,SIC:ATM,Retrait ATM,Entreprise
274971,613426,5845843-3353785,05SEP2022,16.56,814657,-,SIC:ATM,Retrait ATM,Association
733039,362529,1433940-2532210,06MAY2024,32.67,812291,+,SIC:ATM,Retrait ATM,Joint
103402,857168,5418934-9398441,23SEP2021,126.62,814611,+,SIC:DPT,Paiement facture,Joint
815707,899281,1812172-1770794,28MAR2021,338.77,817201,+,SIC:VMW,Transfert Internet,Particulier
975194,990704,7528964-6565503,01JAN2022,8.91,812535,+,SIC:VMW,Transfert Internet,Particulier
947458,664315,9111742-8799287,08FEB2021,580.56,813045,-,SIC:POS,Achat POS,Joint
210790,272359,8542478-8819107,29JUN2025,199.85,815803,-,SIC:DDI,Depot Especes,Entreprise
171734,656278,1142182-3753418,09FEB2024,83.29,816925,+,SIC:VMW,Transfert Internet,Entreprise
381981,415759,5503118-9273246,05JUL2025,20.19,813286,+,SIC:POS,Achat POS,Joint
363615,341736,3024269-4231028,05SEP2020,6.15,812139,-,SIC:CHQ,Cheque,Entreprise
626195,912617,8912226-2044906,20FEB2024,124.15,815012,-,SIC:DPT,Paiement facture,Association
815707,899281,1812172-1770794,06DEC2025,194.56,814657,-,SIC:DDI,Depot Especes,Particulier
525110,819400,9430894-6217344,03JUN2022,45.9,812679,+,SIC:VMW,Transfert Internet,Joint
899649,392099,4794319-8199311,17DEC2025,27.31,812535,-,SIC:VMW,Transfert Internet,Association
353480,589131,3055576-5487430,02JAN2022,6.43,816881,+,SIC:DDI,Depot Especes,Particulier
797860,717558,3941912-7348231,06JAN2024,51.92,815803,-,SIC:DDI,Depot Especes,Entreprise
386488,230521,7174337-8330827,14NOV2021,205.03,816881,+,SIC:DPT,Paiement facture,Trust
452713,631958,9551583-9931180,09OCT2021,24.46,811711,+,SIC:DPT,Paiement facture,Trust
898207,497542,5668371-8072684,14JUL2023,5.99,814611,-,SIC:CHQ,Cheque,Particulier
114768,872399,6655803-5949685,29OCT2024,168.71,814611,-,SIC:ATM,Retrait ATM,Entreprise
409898,777558,1915518-5015476,26MAY2022,10.31,816881,-,SIC:DPT,Paiement facture,Trust
267914,447067,8153291-8751982,14JAN2024,58.28,813547,-,SIC:DDI,Depot Especes,Entreprise
186702,624139,8279795-6557798,21MAY2020,18.11,811711,+,SIC:VMW,Transfert Internet,Association
323788,599968,2307594-3226333,21MAY2023,9983.41,814582,-,SIC:DDI,Depot Especes,Particulier
383060,771088,4684531-6440561,04FEB2023,223.16,812519,-,SIC:ATM,Retrait ATM,Entreprise
745239,105506,2329187-1318832,25SEP2021,6.04,814527,+,SIC:VMW,Transfert Internet,Association
947272,997546,2642635-1848731,21DEC2022,2036.63,815333,+,SIC:DPT,Paiement facture,Particulier
293757,247442,9010350-6429135,15MAY2023,77.1,817924,-,SIC:VMW,Transfert Internet,Entreprise
974224,100425,6098175-5813613,12NOV2020,24.14,816514,+,SIC:POS,Achat POS,Trust
815707,899281,1812172-1770794,25JAN2021,88.26,817873,+,SIC:ATM,Retrait ATM,Particulier
836038,675914,8899184-4664338,11APR2024,315.55,815012,-,SIC:DPT,Paiement facture,Association
620526,463546,9774573-9677559,26NOV2023,737.0,815552,+,SIC:DDI,Depot Especes,Entreprise
717113,549660,6123430-2010496,17JUL2022,48.98,811711,-,SIC:POS,Achat POS,Entreprise
583550,768891,5261032-8710313,15APR2024,2179.66,817224,+,SIC:ATM,Retrait ATM,Joint
950083,873443,6882609-8183451,04SEP2021,8.09,815803,+,SIC:DDI,Depot Especes,Entreprise
219781,464825,6905327-8681625,28MAY2024,50.93,811750,-,SIC:ATM,Retrait ATM,Association
826353,516791,2347467-6512415,03JAN2021,7.65,819928,-,SIC:VMW,Transfert Internet,Joint
949884,815054,6361793-6828829,25JUN2021,42.83,816514,-,SIC:DDI,Depot Especes,Joint
786594,609172,8936405-1628569,23JUN2024,2015.71,811434,+,SIC:ATM,Retrait ATM,Association
427730,547494,6243275-5276341,14NOV2024,62.48,812424,-,SIC:CHQ,Cheque,Particulier
814825,663054,5476583-6707197,22MAR2022,159.28,813045,-,SIC:ATM,Retrait ATM,Trust
480211,423869,4024309-4593556,17NOV2025,53.58,814657,+,SIC:CHQ,Cheque,Entreprise
305837,765905,5604524-3100009,17AUG2023,31.57,816635,+,SIC:POS,Achat POS,Association
859782,969695,4195751-1864641,21AUG2024,55.02,815557,+,SIC:DPT,Paiement facture,Particulier
452713,631958,9551583-9931180,09APR2020,357.95,811520,-,SIC:ATM,Retrait ATM,Trust
117500,715895,2133008-1231415,16DEC2024,172.03,813547,+,SIC:VMW,Transfert Internet,Trust
757694,255061,5326615-6364506,28MAR2022,127.17,812291,+,SIC:POS,Achat POS,Particulier
890170,989921,4965789-3790237,17DEC2020,17.53,815012,+,SIC:ATM,Retrait ATM,Trust
826353,516791,2347467-6512415,27AUG2021,1384.89,819928,+,SIC:POS,Achat POS,Joint
950083,873443,6882609-8183451,31MAR2021,67.71,816514,+,SIC:VMW,Transfert Internet,Entreprise
405605,870571,9237735-5067204,17MAY2022,165.3,817224,-,SIC:ATM,Retrait ATM,Joint
731894,852524,8149041-3795835,01JUN2025,12.27,817912,-,SIC:POS,Achat POS,Particulier
246566,147549,1624315-6106390,16MAR2020,717.38,817201,-,SIC:DPT,Paiement facture,Association
742848,434002,3726331-7592683,28NOV2021,35.53,812535,-,SIC:ATM,Retrait ATM,Association
302087,232315,1715982-8103052,16JAN2023,174.95,815012,+,SIC:DDI,Depot Especes,Entreprise
329659,130726,5713268-1982997,29SEP2020,50.0,814257,-,SIC:POS,Achat POS,Association
416422,250219,9745141-4708481,15JAN2024,189.89,811409,+,SIC:POS,Achat POS,Association
853258,434827,6794356-7689354,02MAY2024,77.83,813615,-,SIC:POS,Achat POS,Joint
966529,838936,1676621-4607450,11FEB2021,25.8,812674,-,SIC:ATM,Retrait ATM,Particulier
606404,356773,7813102-5990112,26DEC2020,19.61,812519,-,SIC:ATM,Retrait ATM,Entreprise
389666,910208,7961578-6702160,29MAR2020,261.79,817224,+,SIC:CHQ,Cheque,Joint
860242,902674,2893218-1540516,30MAY2024,173.13,811409,+,SIC:DPT,Paiement facture,Entreprise
846221,393418,2560728-1736524,26DEC2023,63.96,819279,-,SIC:ATM,Retrait ATM,Joint
885884,262060,4971793-3726327,03FEB2023,60.62,819785,+,SIC:CHQ,Cheque,Particulier
961722,133659,6292423-7730428,30APR2020,5.13,814257,+,SIC:DPT,Paiement facture,Entreprise
